processing_id,waste_classification_id,processing_method,processing_description,cost,created_at,updated_at
319,39,"Biohazard Incineration","Biohazardous waste burnt under controlled conditions.",3600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
320,40,Dehydration,"Expired food dried to reduce volume before disposal.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
321,41,"Cartridge Refill","Printer cartridges cleaned and refilled.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
322,42,"Metal Extraction","Circuit boards smelted to recover precious metals.",2600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
323,43,"Copper Refining","Copper wires melted and purified for reuse.",2200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
324,44,"Aluminum Melting","Aluminum scraps melted for casting.",2000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
325,45,"Steel Recycling","Steel scrap reprocessed in furnaces.",2300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
326,46,"Wrapper Shredding","Plastic wrappers shredded for reuse in roads.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
327,47,"Ceramic Crushing","Ceramics ground into filler materials.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
328,48,"Ash Utilization","Ash used in brick and cement production.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
329,49,"Sludge Composting","Sewage sludge mixed with composting agents.",650.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
330,50,"Filter Disposal","Oil filters drained and metal parts recycled.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
331,51,"Mercury Recovery","Fluorescent lamps processed to recover mercury.",3500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
332,52,"Printer Recycling","Printers dismantled and plastic recovered.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
333,53,"Mobile Recycling","Phones dismantled for metal extraction.",2500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
334,54,"Computer Refurbish","Computer components reused or recycled.",2400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
335,55,"Appliance Dismantling","Refrigerators disassembled for safe material separation.",2800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
336,56,"Toy Recycling","Plastic toys ground for reuse.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
337,57,"Paper Pulping","Paper cups processed to extract fibers.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
338,58,"Tetra Pack Separation","Cartons separated into paper and plastic layers.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
339,59,"Container Shredding","Plastic containers shredded for recycling.",850.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
340,60,"Fiber Reuse","Synthetic fibers reused for filling materials.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
341,61,"Cotton Composting","Cotton fabric decomposed for soil enrichment.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
342,62,"Rubber Melting","Rubber tubes melted and molded for reuse.",1500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
343,63,"Pipe Reprocessing","Plastic pipes recycled into pellets.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
344,64,"Tire Retreading","Old tires processed for reuse.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
345,65,"PVC Grinding","PVC flooring materials ground for recycling.",1400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
346,66,"Foam Crushing","Styrofoam crushed for reuse in insulation.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
347,67,"Acid Neutralization","Battery acids neutralized chemically.",3000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
348,68,"Can Cleaning","Paint cans cleaned and recycled.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
349,69,"Solvent Recovery","Solvents distilled and reused.",2500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
350,70,"Container Recycling","Detergent containers washed and recycled.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
351,71,"Medical Sterilization","Infectious waste sterilized before disposal.",2100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
352,72,Segregation,"Waste separated into degradable and non-degradable.",300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
353,73,Biodegradation,"Natural decomposition of biodegradable materials.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
354,74,"Film Compounding","Industrial films melted into reusable pellets.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
355,75,"Medical Incineration","Surgical waste burned at high temperatures.",3500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
356,76,"Fabric Disinfection","Hospital linen disinfected before destruction.",2000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
357,77,"Cosmetic Disposal","Expired cosmetics crushed and incinerated.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
358,78,"Drum Reuse","Chemical drums cleaned and reused.",1500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
359,79,"Oil Refiltering","Lubricants filtered for secondary use.",1300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
360,80,"Paint Mixing","Paint sludge stabilized with cement.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
361,81,"Metal Sorting","Metal shavings sorted by type.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
362,82,"Dust Collection","Sandblasting residue collected for reuse.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
363,83,"Brick Crushing","Ash bricks crushed and reused.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
364,84,"Concrete Recycling","Concrete blocks crushed and reused.",750.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
365,85,"Soil Treatment","Contaminated soil cleaned through bioremediation.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
366,86,"Fertilizer Recycling","Expired fertilizers stabilized for reuse.",1100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
367,87,"Pesticide Neutralization","Toxic pesticides neutralized with alkalis.",2700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
368,88,"Agrochemical Incineration","Burning of agrochemical waste under control.",3000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
369,89,Composting,"Animal carcasses decomposed with lime treatment.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
370,90,Rendering,"Meat waste processed into animal feed.",1400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
371,91,"Fish Meal Production","Fish waste converted into fish meal.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
372,92,"Biogas Production","Vegetable waste digested to produce biogas.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
373,93,"Fruit Composting","Spoiled fruits converted into compost.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
374,94,"Spent Grain Drying","Brewery waste dried for cattle feed.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
375,95,"Dairy Filtration","Spoiled milk filtered and processed.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
376,96,"Molasses Reuse","Sugarcane residues reused for ethanol production.",1300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
377,97,"Cotton Recycling","Cotton husk processed for fuel briquettes.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
378,98,"Rice Husk Fueling","Rice husk used for energy generation.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
379,99,"Straw Composting","Wheat straw composted for soil enrichment.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
380,100,"Corn Briquetting","Corn husk compressed into bio-briquettes.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
381,101,"Paddy Mulching","Paddy straw used as farm mulch.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
382,102,"Coconut Shell Processing","Shells crushed for activated carbon.",1600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
383,103,"Coir Extraction","Fibers extracted from coconut husk.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
384,104,"Oil Residue Filtering","Palm oil waste filtered and reused.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
385,105,"Tea Composting","Used tea leaves composted.",350.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
386,106,"Coffee Composting","Coffee grounds used as soil fertilizer.",350.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
387,107,"Sugar Reuse","Leftover sugar recycled into ethanol.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
388,108,"Flour Composting","Spoiled flour used as organic fertilizer.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
389,109,"Leather Grinding","Leather scraps ground for particle boards.",1600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
390,110,"Dye Filtration","Fabric dye residues filtered and reused.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
391,111,"Thread Recycling","Loose threads spun into new fabric.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
392,112,"Footwear Shredding","Old shoes shredded for rubber reuse.",1400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
393,113,"Glass Melting","Glass bottles melted for reuse.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
394,114,Crushing,"Broken glass ground for use in concrete.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
395,115,"Bag Recycling","Cement bags shredded and pulped.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
396,116,"Roof Material Shredding","Roof debris crushed and reused.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
397,117,"Insulation Recycling","Pipe insulation reused in packing.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
398,118,"Gas Recovery","Refrigerants recovered safely.",3500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
399,119,"Light Recycling","Bulbs dismantled to recover glass and metal.",1500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
400,120,"Mattress Recycling","Foam separated for reuse.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
401,121,"Plastic Shredding","Cutlery shredded for reuse in roads.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
402,122,"Cardboard Pulping","Cardboard pulped into new boxes.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
403,123,"Carton Recycling","Cartons flattened and reprocessed.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
404,124,"Paper Recycling","Magazines and paper reused for cardboard.",850.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
405,125,"Newsprint Recycling","Newspaper pulped and reused.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
406,126,"Book Pulping","Old books pulped for recycled paper.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
407,127,"Poster Pulping","Posters processed into paper pulp.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
408,128,"Paper Sorting","Office paper sorted for reuse.",750.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
409,129,"Stationery Reuse","Stationery items reused in schools.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
410,130,"Ink Treatment","Ink residues neutralized.",900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
411,131,"Label Removal","Labels separated during recycling.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
412,132,"Sterile Recycling","Medical plastic recycled post-sterilization.",2000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
413,133,"Mask Incineration","Face masks incinerated safely.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
414,134,"Glove Incineration","Used gloves sterilized and destroyed.",1900.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
415,135,"Syringe Crushing","Syringes shredded for safety.",2100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
416,136,"Filter Replacement","Dialysis waste incinerated.",2200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
417,137,"Chemical Fixation","X-ray film chemicals fixed for reuse.",2300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
418,138,"Dental Disposal","Dental waste disinfected before disposal.",1500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
419,139,"Vial Melting","Vaccine vials melted for recycling.",1800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
420,140,"Test Waste Disposal","Covid test kits shredded for disposal.",1600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
421,141,"Plastic Sterilization","Hospital plastic sterilized and recycled.",2100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
422,142,"Clinic Disposal","Clinic waste incinerated under regulation.",2500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
423,143,"Lab Chemical Treatment","Lab waste neutralized before disposal.",2300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
424,144,"Sludge Drying","Sewage sludge dried and landfilled.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
425,145,"Filter Pressing","Water sludge pressed into dry cakes.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
426,146,"Ash Disposal","Power plant ash used in bricks.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
427,147,"Tailings Reuse","Mining tailings stabilized and reused.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
428,148,"Dust Suppression","Quarry dust used in road works.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
429,149,"Residue Separation","Metal ore residue processed for recovery.",1300.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
430,150,"Slag Cooling","Smelting slag cooled for reuse.",1200.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
431,151,"Oil Sludge Treatment","Refinery sludge treated for oil recovery.",2700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
432,152,"Dust Collection","Petroleum coke dust compacted for reuse.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
433,153,"Ship Dismantling","Ship waste materials segregated and recycled.",3100.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
434,154,"Can Recycling","Aerosol cans punctured and recycled.",1000.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
435,155,"Straw Ban Recycling","Plastic straws melted for road use.",700.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
436,156,"Packaging Recycling","Food packaging sorted and recycled.",800.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
437,157,"Plate Composting","Disposable plates composted.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
438,158,"Waste Segregation","Event waste separated for reuse.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
439,159,"Plastic Reprocessing","Plastic utensils shredded.",850.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
440,160,"Organic Recycling","Restaurant waste composted.",500.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
441,161,"Market Composting","Market organic waste turned into compost.",450.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
442,162,"Municipal Sorting","Household waste sorted and treated.",350.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
443,163,"Street Cleaning","Street sweepings filtered and reused.",400.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
444,164,"Park Composting","Park waste composted for gardens.",420.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
445,165,"Festival Recycling","Festival waste segregated and reused.",600.00,"2025-10-13 15:00:57","2025-10-13 15:00:57"
446,1,Composting,"Organic waste converted into compost for agriculture",50.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
447,2,Recycling,"Plastic waste processed into reusable raw material",30.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
448,3,Incineration,"Hazardous waste safely burned at high temperatures",150.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
449,4,Landfill,"Non-recyclable waste safely buried in designated landfills",20.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
450,5,"Anaerobic Digestion","Organic waste converted to biogas through anaerobic process",80.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
451,6,Shredding,"Electronic waste shredded for further processing",60.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
452,7,Pyrolysis,"Plastic and rubber waste converted into fuel",120.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
453,8,"Mechanical Recycling","Paper and cardboard waste mechanically processed into new products",25.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
454,9,"Chemical Treatment","Chemical treatment of industrial hazardous waste",200.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
455,10,Composting,"Organic garden waste processed into nutrient-rich compost",55.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
456,1,Recycling,"Food packaging plastics recycled into pellets",35.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
457,2,Incineration,"Medical waste incinerated at high temperatures",180.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
458,3,Landfill,"Construction debris safely deposited in landfill",40.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
459,4,"Anaerobic Digestion","Farm waste converted into methane gas",75.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
460,5,Shredding,"Electronic boards shredded for component recovery",65.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
461,6,Pyrolysis,"Rubber tires processed into fuel",130.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
462,7,"Mechanical Recycling","Old newspapers and cardboard recycled into paper sheets",28.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
463,8,"Chemical Treatment","Industrial sludge chemically neutralized",220.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
464,9,Composting,"Kitchen organic waste processed into compost",52.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
465,10,Recycling,"Plastic bottles shredded and recycled into pellets",32.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
466,1,Incineration,"Biomedical waste safely incinerated",160.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
467,2,Landfill,"Non-biodegradable solid waste deposited in landfill",22.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
468,3,"Anaerobic Digestion","Cow dung processed to biogas and fertilizer",85.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
469,4,Shredding,"Old electronics shredded for material recovery",68.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
470,5,Pyrolysis,"Waste plastics converted into synthetic fuel",125.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
471,6,"Mechanical Recycling","Cardboard boxes processed into new packaging",26.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
472,7,"Chemical Treatment","Hazardous chemicals treated and stabilized",210.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
473,8,Composting,"Organic food waste converted to compost",58.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
474,9,Recycling,"PET bottles shredded and remade into products",34.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
475,10,Incineration,"Infectious waste safely incinerated",170.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
476,1,Landfill,"Bulky waste deposited in engineered landfill",24.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
477,2,"Anaerobic Digestion","Vegetable waste processed to biogas",78.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
478,3,Shredding,"Electronic scrap shredded for resource recovery",62.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
479,4,Pyrolysis,"Rubber products converted to fuel oil",135.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
480,5,"Mechanical Recycling","Paper waste mechanically processed",27.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
481,6,"Chemical Treatment","Industrial effluents chemically neutralized",215.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
482,7,Composting,"Garden and park waste converted into compost",53.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
483,8,Recycling,"Plastic packaging materials shredded and reused",33.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
484,9,Incineration,"Medical waste incinerated under strict regulations",175.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
485,10,Landfill,"Construction and demolition waste deposited",45.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
486,1,"Anaerobic Digestion","Food and farm waste converted to biogas",82.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
487,2,Shredding,"Electronic waste shredded for recovery of metals",70.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
488,3,Pyrolysis,"Plastic and rubber processed into synthetic fuel",128.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
489,4,"Mechanical Recycling","Paper and cardboard mechanically recycled",29.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
490,5,"Chemical Treatment","Industrial hazardous sludge treated chemically",225.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
491,6,Composting,"Organic waste from markets converted into compost",55.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
492,7,Recycling,"Plastic bottles and containers shredded",36.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
493,8,Incineration,"Biomedical waste incinerated safely",165.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
494,9,Landfill,"Non-recyclable solid waste deposited in landfill",21.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
495,10,"Anaerobic Digestion","Cow and farm waste converted into methane",87.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
496,1,Shredding,"Electronic scrap shredded for material reuse",69.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
497,2,Pyrolysis,"Plastic and rubber waste processed to fuel",132.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
498,3,"Mechanical Recycling","Paper sheets produced from waste cardboard",31.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
499,4,"Chemical Treatment","Industrial effluent neutralized chemically",230.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
500,5,Composting,"Garden waste processed into compost",57.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
501,6,Recycling,"Plastic packaging recycled into pellets",38.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
502,7,Incineration,"Infectious medical waste incinerated",180.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
503,8,Landfill,"Construction debris safely deposited",47.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
504,9,"Anaerobic Digestion","Organic waste processed to biogas",89.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
505,10,Shredding,"Electronics shredded for resource recovery",72.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
506,1,Pyrolysis,"Waste tires converted to fuel",138.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
